지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),전운량(10분위)
108,서울,2025-01-08 8:00,-4.8,,1.2,290,63,4
108,서울,2025-01-08 9:00,-4.1,,1.1,250,53,8
108,서울,2025-01-08 10:00,-2.9,,1.9,270,49,8
108,서울,2025-01-08 11:00,-1.8,,2.5,270,44,6
108,서울,2025-01-08 12:00,-1,,2.6,290,46,3
108,서울,2025-01-08 13:00,-0.3,,2.8,250,44,7
108,서울,2025-01-08 14:00,-0.1,,3.7,250,44,7
108,서울,2025-01-08 15:00,0.1,,3,320,45,1
108,서울,2025-01-08 16:00,-0.1,,4.9,270,44,3
108,서울,2025-01-08 17:00,-1,,5.4,290,42,1
108,서울,2025-01-08 18:00,-2,,4.4,270,45,0
108,서울,2025-01-08 19:00,-2.9,,4.9,270,51,3
108,서울,2025-01-08 20:00,-4.1,,4.3,290,57,0
108,서울,2025-01-08 21:00,-5.2,,4.4,290,56,0
108,서울,2025-01-08 22:00,-5.8,,2.9,270,57,0
108,서울,2025-01-08 23:00,-5.7,,3.7,270,59,8
108,서울,2025-01-09 0:00,-6.1,0,4,290,65,8
108,서울,2025-01-09 1:00,-7.5,,5.7,270,51,0
108,서울,2025-01-09 2:00,-8.2,,2.3,270,49,0
108,서울,2025-01-09 3:00,-8.4,0,4.1,270,39,0
108,서울,2025-01-09 4:00,-8.8,,4.1,290,35,0
108,서울,2025-01-09 5:00,-9.2,,3.6,290,36,0
108,서울,2025-01-09 6:00,-9.5,,4.2,270,37,0
108,서울,2025-01-09 7:00,-9.8,,3.3,290,39,0
108,서울,2025-01-09 8:00,-10.1,,3.8,290,41,0
108,서울,2025-01-09 9:00,-10.1,,4.8,270,42,0
108,서울,2025-01-09 10:00,-9.4,,5.4,290,40,0
108,서울,2025-01-09 11:00,-8.5,,6,270,39,0
108,서울,2025-01-09 12:00,-8.1,,5.2,270,34,0
108,서울,2025-01-09 13:00,-8.5,,7.2,290,36,1
108,서울,2025-01-09 14:00,-8.1,,5.5,290,33,2
108,서울,2025-01-09 15:00,-8,,5.3,270,33,1
108,서울,2025-01-09 16:00,-8.6,,6.2,290,34,2
108,서울,2025-01-09 17:00,-9.4,,4.2,290,37,4
108,서울,2025-01-09 18:00,-10.3,,3.8,320,35,0
108,서울,2025-01-09 19:00,-10.6,,3.5,320,39,0
108,서울,2025-01-09 20:00,-11.1,,1.7,340,40,0
108,서울,2025-01-09 21:00,-11.4,,1.7,290,42,0
108,서울,2025-01-09 22:00,-11.3,,2.5,270,42,0
108,서울,2025-01-09 23:00,-11.4,,2.3,270,43,0
108,서울,2025-01-10 0:00,-11.6,,0.7,320,45,0
108,서울,2025-01-10 1:00,-11.7,,1.1,270,45,0
108,서울,2025-01-10 2:00,-11.7,,1.3,320,46,0
108,서울,2025-01-10 3:00,-11.6,,1.5,290,47,0
108,서울,2025-01-10 4:00,-11.6,,2.2,340,49,0
108,서울,2025-01-10 5:00,-11.6,,2.6,340,49,0
108,서울,2025-01-10 6:00,-11.5,,2.5,320,49,0
108,서울,2025-01-10 7:00,-12,,0.9,320,52,0
108,서울,2025-01-10 8:00,-12.1,,1.3,20,52,0
108,서울,2025-01-10 9:00,-11.2,,1.3,250,50,0
108,서울,2025-01-10 10:00,-8.8,,1.5,270,48,0
108,서울,2025-01-10 11:00,-7.8,,2.6,290,46,0
108,서울,2025-01-10 12:00,-5.4,,1.8,200,44,0
108,서울,2025-01-10 13:00,-4.4,,1.6,250,42,0
108,서울,2025-01-10 14:00,-3.4,,1.2,320,38,0
108,서울,2025-01-10 15:00,-2,,2,200,36,0
108,서울,2025-01-10 16:00,-2.3,,2.1,270,36,0
108,서울,2025-01-10 17:00,-3,,2.1,270,42,0
108,서울,2025-01-10 18:00,-4.2,,1.4,290,45,0
108,서울,2025-01-10 19:00,-5.2,,1.6,360,47,0
108,서울,2025-01-10 20:00,-5.7,,0.7,360,50,0
108,서울,2025-01-10 21:00,-6.1,,0.9,320,54,6
108,서울,2025-01-10 22:00,-5.9,,0.9,340,56,8
108,서울,2025-01-10 23:00,-6,,1,50,59,7
108,서울,2025-01-11 0:00,-6.1,,1.5,360,59,6
108,서울,2025-01-11 1:00,-6.4,,1.6,270,63,0
108,서울,2025-01-11 2:00,-7,,0.6,340,64,0
108,서울,2025-01-11 3:00,-7.5,,0.8,290,66,0
108,서울,2025-01-11 4:00,-8.1,,1.1,290,67,0
108,서울,2025-01-11 5:00,-8.5,,1.5,50,71,0
108,서울,2025-01-11 6:00,-9,,1.6,50,72,0
108,서울,2025-01-11 7:00,-9.2,,2.6,50,72,0
108,서울,2025-01-11 8:00,-9.4,,2.4,50,73,0
108,서울,2025-01-11 9:00,-8.7,,2,70,71,0
108,서울,2025-01-11 10:00,-6.3,,2.3,50,62,0
108,서울,2025-01-11 11:00,-4.4,,2.2,20,55,0
108,서울,2025-01-11 12:00,-2.7,,1,290,51,0
108,서울,2025-01-11 13:00,-0.5,,1.5,180,45,0
108,서울,2025-01-11 14:00,-0.9,,2.7,270,39,0
108,서울,2025-01-11 15:00,0.3,,3.4,200,37,0
108,서울,2025-01-11 16:00,-0.6,,2,290,38,0
108,서울,2025-01-11 17:00,-1.4,,2.1,270,40,0
108,서울,2025-01-11 18:00,-2.5,,1.9,270,45,0
108,서울,2025-01-11 19:00,-3.3,,2.6,270,53,0
108,서울,2025-01-11 20:00,-4,,1.2,270,56,0
108,서울,2025-01-11 21:00,-5,,0.4,0,55,0
108,서울,2025-01-11 22:00,-5.4,,0.8,270,57,0
108,서울,2025-01-11 23:00,-6,,1.4,270,61,0
108,서울,2025-01-12 0:00,-6,,0.7,270,62,0
108,서울,2025-01-12 1:00,-6.1,,1.6,20,61,0
108,서울,2025-01-12 2:00,-6.4,,1.8,20,65,0
108,서울,2025-01-12 3:00,-6.8,,1.8,20,67,0
108,서울,2025-01-12 4:00,-7.1,,2.1,20,68,0
108,서울,2025-01-12 5:00,-7.5,,2,50,70,0
108,서울,2025-01-12 6:00,-7.7,,2.2,20,72,0
108,서울,2025-01-12 7:00,-8,,2.1,20,73,0
108,서울,2025-01-12 8:00,-8.2,,2.6,20,75,0
108,서울,2025-01-12 9:00,-7.7,,1.9,50,74,0
108,서울,2025-01-12 10:00,-5.5,,2.4,50,68,0
108,서울,2025-01-12 11:00,-3,,1.4,70,59,0
108,서울,2025-01-12 12:00,-1,,1.1,50,51,0
108,서울,2025-01-12 13:00,1.2,,0.9,200,41,0
108,서울,2025-01-12 14:00,1.9,,2.1,290,38,5
108,서울,2025-01-12 15:00,1.6,,2.5,320,42,6
108,서울,2025-01-12 16:00,1.8,,2.2,290,43,0
108,서울,2025-01-12 17:00,1.1,,2.5,250,45,0
108,서울,2025-01-12 18:00,-0.2,,1.4,270,50,0
108,서울,2025-01-12 19:00,-0.9,,1.4,290,53,0
108,서울,2025-01-12 20:00,-1.5,,1.2,290,54,0
108,서울,2025-01-12 21:00,-2.5,,1.2,270,59,0
108,서울,2025-01-12 22:00,-3.2,,1,290,64,0
108,서울,2025-01-12 23:00,-3.2,,1.7,290,65,0
108,서울,2025-01-13 0:00,-3.3,,1.6,320,64,0
108,서울,2025-01-13 1:00,-4.1,,1.2,230,67,0
108,서울,2025-01-13 2:00,-4.5,,1.1,50,68,0
108,서울,2025-01-13 3:00,-4.7,,1.1,270,70,0
108,서울,2025-01-13 4:00,-5.1,,1.6,50,73,0
108,서울,2025-01-13 5:00,-5.3,,2.4,20,75,0
108,서울,2025-01-13 6:00,-5.6,,1.8,20,76,6
108,서울,2025-01-13 7:00,-5.1,,2.3,50,77,9
108,서울,2025-01-13 8:00,-4.2,,2.2,50,74,9
108,서울,2025-01-13 9:00,-3.4,0,2,50,74,9
108,서울,2025-01-13 10:00,-2.2,,2.9,50,73,8
108,서울,2025-01-13 11:00,-0.8,,2.7,50,67,8
108,서울,2025-01-13 12:00,1.1,0,2.4,50,60,0
108,서울,2025-01-13 13:00,2.6,,1.3,70,58,6
108,서울,2025-01-13 14:00,3.9,,2.6,200,59,8
108,서울,2025-01-13 15:00,3.9,0,4,200,62,9
108,서울,2025-01-13 16:00,3.5,,2.7,230,71,9
108,서울,2025-01-13 17:00,2.1,,1.1,230,87,9
108,서울,2025-01-13 18:00,2,1,0.5,360,89,9
108,서울,2025-01-13 19:00,1.6,,1.4,20,91,9
108,서울,2025-01-13 20:00,1.6,,2.2,20,92,9
108,서울,2025-01-13 21:00,1.6,0.3,1.3,20,91,7
108,서울,2025-01-13 22:00,1.6,,1.4,20,90,9
108,서울,2025-01-13 23:00,1.8,,1.2,50,91,9
108,서울,2025-01-14 0:00,1.7,0,1.5,20,93,9
108,서울,2025-01-14 1:00,1.7,,1.5,50,93,10
108,서울,2025-01-14 2:00,1.8,,0.6,50,92,10
108,서울,2025-01-14 3:00,1.8,0,1.7,20,92,9
108,서울,2025-01-14 4:00,1.8,,1.8,20,93,9
108,서울,2025-01-14 5:00,2,,0.7,70,91,9
108,서울,2025-01-14 6:00,1.7,0.1,1.6,50,93,0
108,서울,2025-01-14 7:00,1.1,,1.9,20,93,0
108,서울,2025-01-14 8:00,0.8,,2,20,94,4
108,서울,2025-01-14 9:00,1.2,,2.3,20,97,5
108,서울,2025-01-14 10:00,1.8,,1.8,20,97,6
108,서울,2025-01-14 11:00,3,,1.5,50,96,6
108,서울,2025-01-14 12:00,5,,1.8,270,89,8
108,서울,2025-01-14 13:00,5,,3.6,290,71,7
108,서울,2025-01-14 14:00,4.7,,2.9,290,64,6
108,서울,2025-01-14 15:00,4.8,,2.9,290,51,8
108,서울,2025-01-14 16:00,4.8,,2.4,270,48,8
108,서울,2025-01-14 17:00,4.3,,3.7,270,51,10
108,서울,2025-01-14 18:00,3.8,,3,270,55,7
108,서울,2025-01-14 19:00,3.2,,2.6,270,51,10
108,서울,2025-01-14 20:00,2.5,,1.9,290,51,8
108,서울,2025-01-14 21:00,1.6,,4.2,290,49,3
108,서울,2025-01-14 22:00,0.1,,2.5,320,42,0
108,서울,2025-01-14 23:00,-1.1,,3.2,270,48,0
108,서울,2025-01-15 0:00,-1.7,,3.2,270,50,0
108,서울,2025-01-15 1:00,-2.2,,2.7,270,53,0
108,서울,2025-01-15 2:00,-2.9,,2,290,55,0
108,서울,2025-01-15 3:00,-3.3,,1.5,290,56,0
108,서울,2025-01-15 4:00,-3.6,,3.9,290,50,0
108,서울,2025-01-15 5:00,-4.3,,2,270,50,0
108,서울,2025-01-15 6:00,-4.8,,2.1,270,51,0
108,서울,2025-01-15 7:00,-5,,2.1,270,50,0
108,서울,2025-01-15 8:00,-5.2,,2.3,250,49,0
108,서울,2025-01-15 9:00,-4.6,,3.5,270,45,0
108,서울,2025-01-15 10:00,-3.8,,5.1,320,34,0
108,서울,2025-01-15 11:00,-3.2,,3.7,320,33,0
108,서울,2025-01-15 12:00,-2.6,,4.1,270,28,0
108,서울,2025-01-15 13:00,-1.6,,4,270,28,0
108,서울,2025-01-15 14:00,-1.7,,4.4,290,25,0
108,서울,2025-01-15 15:00,-0.9,,3.8,250,25,0
108,서울,2025-01-15 16:00,-1,,3.6,290,25,0
108,서울,2025-01-15 17:00,-1.9,,3,270,28,0
108,서울,2025-01-15 18:00,-2.7,,2.8,270,34,0
108,서울,2025-01-15 19:00,-3.2,,2.6,270,40,0
108,서울,2025-01-15 20:00,-3.4,,2.9,250,41,0
108,서울,2025-01-15 21:00,-4,,1.1,270,39,0
108,서울,2025-01-15 22:00,-4.5,,1.2,320,42,0
108,서울,2025-01-15 23:00,-5,,1.8,270,47,0
108,서울,2025-01-16 0:00,-4.9,,0.7,320,48,8
108,서울,2025-01-16 1:00,-4.4,,0.9,270,48,9
108,서울,2025-01-16 2:00,-4,,0.4,0,50,9
108,서울,2025-01-16 3:00,-3.8,0,1.8,20,52,9
108,서울,2025-01-16 4:00,-3.6,,1.7,50,54,9
108,서울,2025-01-16 5:00,-3.5,,2.2,50,50,9
108,서울,2025-01-16 6:00,-3.4,,2,50,50,9
108,서울,2025-01-16 7:00,-3.2,,2.1,50,53,9
108,서울,2025-01-16 8:00,-2.9,,2,50,55,9
108,서울,2025-01-16 9:00,-2.5,,2.3,20,56,9
108,서울,2025-01-16 10:00,-2,,1.5,360,57,9
108,서울,2025-01-16 11:00,-1,,1.3,50,58,9
108,서울,2025-01-16 12:00,0.3,0,1.3,200,69,9
108,서울,2025-01-16 13:00,1.4,,2.3,250,68,9
108,서울,2025-01-16 14:00,2.5,,3.1,230,64,9
108,서울,2025-01-16 15:00,2.8,,3,270,63,9
108,서울,2025-01-16 16:00,2.6,,3.6,270,69,9
108,서울,2025-01-16 17:00,2.5,,1.9,270,72,9
108,서울,2025-01-16 18:00,2.5,0,2.5,290,74,9
108,서울,2025-01-16 19:00,2,,1.1,290,74,3
108,서울,2025-01-16 20:00,1.9,,0.9,340,77,5
108,서울,2025-01-16 21:00,1.5,,2.9,320,81,0
108,서울,2025-01-16 22:00,0.7,,2.8,340,73,0
108,서울,2025-01-16 23:00,-0.3,,2.8,290,75,0
108,서울,2025-01-17 0:00,-1.1,,2.7,270,76,0
108,서울,2025-01-17 1:00,-1.8,,1.4,270,75,0
108,서울,2025-01-17 2:00,-2.6,,0.5,290,74,0
108,서울,2025-01-17 3:00,-3.3,,1,270,78,0
108,서울,2025-01-17 4:00,-3.7,,0.6,290,77,0
108,서울,2025-01-17 5:00,-3.9,,1,50,74,0
108,서울,2025-01-17 6:00,-4.4,,1.7,20,77,0
108,서울,2025-01-17 7:00,-4.5,,1.4,50,79,0
108,서울,2025-01-17 8:00,-4.9,,2.3,50,82,0
108,서울,2025-01-17 9:00,-4.4,,2,50,85,0
108,서울,2025-01-17 10:00,-1.9,,2.2,70,78,0
108,서울,2025-01-17 11:00,-0.1,,2.6,50,67,0
108,서울,2025-01-17 12:00,1.8,,1.6,360,63,0
108,서울,2025-01-17 13:00,4.5,,1.7,200,53,0
108,서울,2025-01-17 14:00,5.1,,2.7,270,47,0
108,서울,2025-01-17 15:00,4.6,,2.6,290,40,0
108,서울,2025-01-17 16:00,5,,2.5,290,36,0
108,서울,2025-01-17 17:00,4.2,,2.8,290,33,0
108,서울,2025-01-17 18:00,2.8,,2.5,270,38,0
108,서울,2025-01-17 19:00,1.8,,3,290,47,0
108,서울,2025-01-17 20:00,0.8,,2.6,270,51,0
108,서울,2025-01-17 21:00,0.1,,2.2,250,56,0
108,서울,2025-01-17 22:00,-0.6,,0.5,290,59,0
108,서울,2025-01-17 23:00,-1,,0.9,270,61,0
108,서울,2025-01-18 0:00,-1.4,,1.4,270,62,0
108,서울,2025-01-18 1:00,-1.8,,1.3,250,63,0
108,서울,2025-01-18 2:00,-2.1,,0.8,360,65,0
108,서울,2025-01-18 3:00,-2.2,,1.7,50,62,0
108,서울,2025-01-18 4:00,-2.7,,1.9,20,65,0
108,서울,2025-01-18 5:00,-3.2,,1.8,50,68,0
108,서울,2025-01-18 6:00,-3.5,,1.7,50,69,0
108,서울,2025-01-18 7:00,-3.6,,2.1,20,69,0
108,서울,2025-01-18 8:00,-4,,2.2,50,71,0
108,서울,2025-01-18 9:00,-2.8,,1.1,70,69,0
108,서울,2025-01-18 10:00,-0.5,,1.9,50,62,0
108,서울,2025-01-18 11:00,2.2,,1.9,50,52,0
108,서울,2025-01-18 12:00,4.4,,1.3,50,44,3
108,서울,2025-01-18 13:00,6.1,,0.8,70,38,6
108,서울,2025-01-18 14:00,7.4,,2.7,200,30,8
108,서울,2025-01-18 15:00,6.8,,2.2,270,30,8
108,서울,2025-01-18 16:00,6.8,,1.8,290,31,6
108,서울,2025-01-18 17:00,5.7,,1.9,270,32,8
108,서울,2025-01-18 18:00,4.1,,2.3,270,40,7
108,서울,2025-01-18 19:00,3.1,,2.4,270,45,6
108,서울,2025-01-18 20:00,2.1,,1,250,51,0
108,서울,2025-01-18 21:00,1.2,,1.1,270,55,0
108,서울,2025-01-18 22:00,0.7,,0.5,270,61,0
108,서울,2025-01-18 23:00,0.1,,0.6,340,64,0
108,서울,2025-01-19 0:00,-0.2,,1.6,20,64,0
108,서울,2025-01-19 1:00,-0.7,,1.3,50,62,0
108,서울,2025-01-19 2:00,-1.1,,2,20,65,0
108,서울,2025-01-19 3:00,-0.6,,2.2,20,66,8
108,서울,2025-01-19 4:00,0,,2.1,70,63,9
108,서울,2025-01-19 5:00,0.3,,3,70,57,9
108,서울,2025-01-19 6:00,0.5,,1.8,70,57,8
108,서울,2025-01-19 7:00,0.5,,1.6,50,59,4
108,서울,2025-01-19 8:00,0.9,,1.7,50,60,7
108,서울,2025-01-19 9:00,1.2,,2.7,50,62,9
108,서울,2025-01-19 10:00,2.1,,2.2,50,61,8
108,서울,2025-01-19 11:00,3.1,,2.4,70,57,6
108,서울,2025-01-19 12:00,4.9,,2.6,50,52,7
